Material,Mean,Std Dev,Max,Min,RMS,Skewness,Kurtosis,Peak Freq,Spectral Entropy
steel,-8.420604516320269e-05,0.7392885732792949,2.610447320351543,-2.90572482023821,0.7392885780748905,-0.2523262638596575,0.7498749802906004,9338.378906249998,4.1917230627424935
steel,-7.166420375867355e-05,0.7447505380741735,2.725610335893793,-2.9997336532655465,0.7447505415221455,-0.17860304884464026,0.8367224110327984,9338.378906249998,4.392581150476449
steel,2.062814599102124e-05,0.7158817655274865,2.8470639327097538,-3.271661745474094,0.7158817658246867,-0.12475489255578524,0.9941550488699415,9338.378906249998,4.652960254772465
steel,2.265366826299173e-05,0.6596360361763924,2.8470639327097538,-3.271661745474094,0.6596360365653863,-0.23511697689807248,1.3862483282290627,9326.171874999998,4.577485290571716
steel,7.689380506187949e-07,0.6586501146654813,2.881923578665424,-3.109892440724566,0.65865011466593,-0.3185831342041348,1.5222846982591687,9338.378906249998,4.822579941951672
steel,9.584638676138057e-06,0.7591371956916892,2.881923578665424,-3.354877526083514,0.7591371957521956,-0.22232568113513002,0.7610104659956178,9338.378906249998,4.134972235038135
steel,-3.2870631390027106e-06,0.7754442544251038,2.686394819747381,-3.354877526083514,0.7754442544320705,-0.1717760007428268,0.5951731255283232,9338.378906249998,4.13369827535397
steel,4.3503369330673e-07,0.7454447037320275,2.686394819747381,-3.2091022001461633,0.7454447037321545,-0.1270809631695143,0.5458584590916553,9338.378906249998,4.368009865192608
steel,5.095922974586336e-05,0.6377570000283977,2.266651007751885,-2.8725915516738167,0.6377570020643168,-0.15937015618747402,1.0695092273571438,9326.171874999998,4.421445864969426
steel,-7.502961230053398e-05,0.5755124443168569,2.176674727418091,-2.8725915516738167,0.5755124492076656,-0.35362037876932867,1.5816699417217297,9338.378906249998,4.846754939888521
steel,-1.4510104109536303e-05,0.7053935478545079,2.7710904899760314,-3.2931852888431954,0.705393548003746,-0.2349737192451557,0.875487329472417,9338.378906249998,4.322511378259154
steel,5.8761630774520725e-05,0.78907842871283,2.7710904899760314,-3.7054934487917346,0.7890784309007806,-0.1429610064772489,0.6182297569426751,9338.378906249998,4.29457850201896
steel,-2.3035639862304745e-05,0.7634711851819551,2.546623670679513,-3.7054934487917346,0.7634711855294737,-0.12774765502908436,0.6579438491752838,9338.378906249998,4.391537917736429
steel,6.652361988160371e-06,0.6183937528418416,2.4443858034027772,-2.6138925583962465,0.618393752877623,-0.25008356344139865,1.3223938655122556,9338.378906249998,4.656770565418533
steel,4.5161129991937e-06,0.5747000083406336,2.4358206056422986,-2.9179412162250253,0.5747000083583779,-0.34754174347543637,1.701340730908738,9338.378906249998,4.806041020327097
steel,3.429469758187351e-05,0.7442736631003832,2.55400227963147,-3.7342737062528775,0.7442736638905001,-0.23963560729105096,0.8715221857531192,9338.378906249998,4.256752988098942
steel,-2.3903168374866856e-05,0.8119192713540034,2.8939327749653367,-3.7342737062528775,0.811919271705862,-0.17933294330100036,0.6267478912753575,9338.378906249998,4.066355345621789
steel,-7.447523970522507e-07,0.7524632200290695,2.8939327749653367,-3.146106510043633,0.7524632200294381,-0.18486505986550816,0.8543826028284691,9338.378906249998,4.5521865987542665
steel,3.994866730384702e-05,0.6212650227194602,2.6972059207763492,-2.9238755121229665,0.6212650240038525,-0.29755686836646933,1.5709559744707535,9338.378906249998,4.5272743763950185
steel,-8.90002467263535e-05,0.5866803669434263,2.3737569370169007,-2.6661055524193693,0.5866803736941583,-0.2789459104840202,1.7456988635582942,9326.171874999998,4.860171472460453
steel,3.8411085569664874e-05,0.7306673156393979,2.529726670863836,-3.683465077682767,0.7306673166490308,-0.2220452796497007,1.0104468519857495,9338.378906249998,4.152885262003747
steel,1.0889712574369748e-05,0.7601285973098809,3.4924228369467167,-3.683465077682767,0.7601285973878849,-0.1756071417010269,0.993412482862436,9326.171874999998,4.137657547501632
steel,-6.470739736146374e-05,0.728728493448327,3.4924228369467167,-3.296236796324274,0.7287284963211715,-0.1300274481527609,0.913731716496057,9338.378906249998,4.565778082981084
steel,5.338434240377764e-05,0.6628618894170105,2.4696549702950352,-2.693619314143489,0.6628618915666951,-0.1189984275136327,1.0092160887823178,9338.378906249998,4.571486383788017
steel,-3.8329560305231755e-05,0.5689661364190794,2.4634237146302733,-2.6659889091115447,0.5689661377101538,-0.26268372942015805,1.5361255480953195,9338.378906249998,4.830657296105703
steel,4.985673216087025e-05,0.667214982475724,2.4964171990056485,-2.924369910100746,0.6672149843384623,-0.23297098491500698,0.9681722510272506,9338.378906249998,4.56283889068431
steel,4.482591738394626e-05,0.737349835423994,2.579177514692928,-2.954527976529416,0.7373498367865513,-0.08581424380768801,0.5414076725445298,9338.378906249998,4.062861311680054
steel,-6.374740575480975e-05,0.709378065793758,2.579177514692928,-3.186100475640217,0.7093780686580499,-0.1287215208769661,0.7591858532537992,9338.378906249998,4.439153927526844
steel,1.0303378358429093e-05,0.6006655084444994,2.538834634238638,-3.186100475640217,0.6006655085328678,-0.25677387441417215,1.4276446200952,9338.378906249998,4.537734055908793
steel,-4.950015411760551e-05,0.5493212703551835,2.041426078027859,-2.978685984417083,0.5493212725854496,-0.38780750267544506,1.8711311278608083,9338.378906249998,4.735689972122604
steel,4.350299743927873e-05,0.6741865182662371,2.2304860908229465,-2.978685984417083,0.6741865196697885,-0.3262081204479895,0.9897095289053701,9338.378906249998,4.598690013956875
steel,4.086495085770259e-05,0.7674217896274095,2.707910466935831,-3.1511593848110935,0.7674217907154319,-0.11535937118082266,0.45391861910624387,9338.378906249998,4.129611571996923
steel,-4.425554326815343e-05,0.7633850818456612,2.814555212328626,-3.1511593848110935,0.7633850831284693,-0.06845445347876349,0.5710571292700313,9338.378906249998,4.345786507517525
steel,4.63771076350945e-06,0.656777075067226,2.814555212328626,-2.8967776084950287,0.6567770750836002,-0.24543314780570344,1.2618851509260534,9338.378906249998,4.64678539115683
steel,-8.170563038309515e-05,0.5897211387620919,2.2432229372317605,-2.8967776084950287,0.5897211444222332,-0.37763234946704805,1.5712918415214885,9326.171874999998,4.733290791289097
steel,3.8888635695692786e-05,0.6849645676767859,2.5477768637638114,-3.528987793649523,0.6849645687807306,-0.2561043326054682,1.067108331388206,9338.378906249998,4.427923257528511
steel,8.392487180564671e-05,0.7933635073401389,2.912078467480988,-3.528987793649523,0.7933635117790777,-0.10539102613681492,0.5240386430409836,9338.378906249998,4.1564115672832305
steel,-3.6476654217881265e-05,0.737308846618587,2.912078467480988,-3.0916383589420087,0.7373088475208862,-0.0982753760575125,0.6969604740705333,9338.378906249998,4.497432082452236
steel,-1.1274900837519564e-05,0.5757591275231716,2.3177232406244554,-2.6293539388187357,0.575759127633568,-0.26161561361856384,1.3312149292309163,9338.378906249998,4.646556803693633
steel,-2.179634966282029e-05,0.5718208439998351,2.1979116752306904,-3.0954973375049066,0.5718208444152457,-0.35019091776767647,1.7729959232435881,9338.378906249998,4.8100222123700735
steel,6.19874738959581e-05,0.7373953407440786,2.7543588814005275,-3.8893669304300675,0.7373953433494971,-0.26552237965349823,0.9418634943998114,9338.378906249998,4.313526163979294
steel,4.629578714821503e-05,0.7898227975413862,2.7543588814005275,-3.8893669304300675,0.7898227988982094,-0.15235720643071785,0.6520867849029806,9338.378906249998,4.130249073421631
steel,-0.00011161004716224373,0.7189674268416766,2.7540289677944343,-3.2446092657313446,0.7189674355046577,-0.10058787494355816,0.9056844577077192,9338.378906249998,4.606224498870093
steel,1.8814393928050444e-05,0.6377021687200977,2.5990313432609957,-2.9853640132680406,0.6377021689976422,-0.2401043590575556,1.3696743921379433,9338.378906249998,4.65803634619005
